Source,Target,Type,Id,Label,timeset,Weight,pn
ASV0202,ASV0486,Undirected,212,NA,NA,1.663315,p
ASV0202,ASV0654,Undirected,213,NA,NA,1.994236,p
ASV0202,ASV0917,Undirected,214,NA,NA,1.670217,p
ASV0202,ASV0939,Undirected,215,NA,NA,1.982709,p
ASV0202,ASV1309,Undirected,216,NA,NA,1.976945,p
ASV0202,ASV1491,Undirected,217,NA,NA,2,p
ASV0202,ASV1652,Undirected,218,NA,NA,1.982709,p
ASV0202,ASV1653,Undirected,219,NA,NA,1.994236,p
ASV0202,ASV2000,Undirected,220,NA,NA,1.982709,p
ASV0202,ASV2084,Undirected,221,NA,NA,1.994236,p
ASV0204,ASV0242,Undirected,226,NA,NA,1.60886,p
ASV0204,ASV0257,Undirected,227,NA,NA,1.982709,p
ASV0204,ASV0486,Undirected,228,NA,NA,1.670217,p
ASV0204,ASV0654,Undirected,229,NA,NA,1.982709,p
ASV0204,ASV0917,Undirected,230,NA,NA,1.663315,p
ASV0204,ASV0939,Undirected,231,NA,NA,1.976945,p
ASV0204,ASV1309,Undirected,232,NA,NA,1.982709,p
